id_empresa,anio_inicio,periodo,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10001,1992,2022,I1,3548177,33,763555,802943,15,18,33,43052,37494,130639,166584,91806
10002,1994,2022,I1,5652965,29,686505,718323,16,14,30,57144,147335,214130,404366,81375
10003,2015,2022,I1,12123841,51,1655246,1678311,51,63,114,144835,18332,296693,1249603,15457
10004,2017,2022,I1,15692721,136,2524379,2573519,136,0,136,11792,50025,0,0,43200
10005,1957,2022,I2,34356219,48,2663362,3157446,99,139,238,142812,388469,372088,1591866,141518
10006,1989,2022,I2,122015711,1220,26391528,27655082,676,544,1220,1087440,4502997,255861,1102687,530351
10008,1998,2022,I2,22149517,171,4889116,5097440,157,14,171,260003,145311,123723,844581,199874
10013,2003,2022,H1,21146763,29,1144851,1329496,9,27,36,122008,36597,0,3588,0
10015,1974,2022,H1,26322561,81,5111331,5394200,28,53,81,291586,495416,108136,554039,955962
10017,1992,2022,H1,240525654,429,26407501,32592860,157,414,571,1429887,390450,812665,3166421,0
10018,2002,2022,H1,12221030,10,781476,798865,5,7,12,175852,38895,2199,73670,0
10019,1970,2022,N2,3484661,50,1940111,2049607,32,18,50,46213,334608,6274,70352,0
10020,1971,2022,N2,2081872,19,930741,930741,19,5,24,20653,11983,3004,51531,0
10021,1989,2022,H1,11100910,51,4286396,5018455,22,33,55,132894,22051,9596,79334,186
10022,1994,2022,H1,14348919,173,6551667,6881235,71,102,173,151774,5609,4575,98277,0
10023,1994,2022,H1,5434089,91,2614770,2844978,46,45,91,23750,261059,11231,32679,91
10024,1995,2022,H1,3920705,56,989807,995491,23,33,56,31072,6871,4061,37364,2360
10025,1967,2022,H1,10160426,55,2072317,2153176,31,24,55,59517,36313,11430,43536,1647
10027,2001,2022,J3,261206453,341,21868312,26384937,92,280,372,2330376,1588022,22878,260135,0
10029,2005,2022,I1,23858992,151,5579449,5783029,75,112,187,236435,761989,343252,1514398,295442
10030,1992,2022,LN1,3222316,35,1338566,1476119,9,26,35,34791,25132,6365,31758,0
10033,1996,2022,M1,6711529,15,1912908,2199082,8,7,15,16267,18957,7295,61238,0
10036,2000,2022,M1,1252131,9,240281,251382,2,7,9,0,1852,0,12475,0
10038,2001,2022,M1,5650587,75,3977292,4303096,15,60,75,5277,201795,2942,56205,296
10040,2004,2022,M1,216686586,2109,132793553,145707383,627,1526,2153,0,814,14246,219030,25
10041,1989,2022,N3,4719742,156,4299493,4410932,42,114,156,5227,23335,1146,5662,0
10043,0,2022,N3,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
10044,1991,2022,N3,17447986,637,15215603,15993565,309,328,637,13781,77834,0,0,0
10047,0,2022,N3,0,0,0,0,0,0,0,0,0,0,0,0
10048,1997,2022,N3,22892105,817,16476059,16516403,285,535,820,23515,86108,2069,36374,0
10049,1999,2022,N3,37975310,1050,26893202,28169933,496,554,1050,35312,560085,0,0,0
10050,2000,2022,N3,109721061,4194,95407199,100443976,1472,2722,4194,74164,484098,6741,12794,336
10051,2001,2022,N3,49102503,2012,42254158,44447965,761,1251,2012,35338,241122,0,110545,0
10052,2001,2022,N3,1701501,48,1389041,1438773,7,42,49,1356,9456,2964,11310,0
10053,2002,2022,N3,1905858,82,1660844,1685957,26,56,82,1642,20237,0,0,0
10055,1973,2022,N3,143276382,5899,124105516,130311308,2862,3037,5899,117677,606952,2289,93465,0
10056,0,2022,N3,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
10057,1977,2022,N3,66348600,1405,58417111,60616706,248,1157,1405,65481,630095,0,0,0
10058,1990,2022,N3,28673601,1054,21915066,22760875,146,911,1057,21575,321545,15883,116786,637
10059,1991,2022,N3,32958869,838,22639282,23192644,25,815,840,20820,49655,14295,89578,240
10060,1996,2022,N3,11095723,335,8109441,8474785,10,325,335,9992,204559,5423,58075,1128
10062,2002,2022,N3,9467871,41,1215644,1229705,16,30,46,3683,104164,4311,43940,24
10063,1967,2022,N3,238027250,2208,57754653,57988751,336,1872,2208,162359,640099,27022,231029,1102
10064,1973,2022,N3,15012398,495,12192677,12496161,26,469,495,9640,69734,14953,38795,0
10065,1978,2022,N3,15362162,379,12066683,12066683,13,366,379,104321,83521,6488,21149,55
10066,1981,2022,N3,76238730,2829,48584658,49988752,589,2240,2829,137740,316937,14276,208053,1444
10067,1981,2022,N3,25209846,749,19627513,20414272,63,686,749,18679,15708,5994,61162,127
10068,1986,2022,N3,4524914,85,1980058,2044137,20,65,85,53246,104646,3875,80668,720
10069,1991,2022,N3,4100961,92,2087362,2233026,11,81,92,5827,126779,9880,88690,3200
10070,1991,2022,N3,99111980,3604,66350634,68387412,1850,1754,3604,409827,805613,12769,200781,199
10071,0,2022,N3,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
10072,2001,2022,N4,83751745,2822,58373846,64709548,847,1975,2822,582888,447957,14132,6667,0
10075,2000,2022,N4,96076,1,1300,1321,2,3,5,9893,73635,1591,13600,0
10076,1988,2022,P,13410332,197,9818334,9995981,70,127,197,40468,104617,17255,150195,1
10077,1993,2022,P,9192541,80,2801224,2921871,41,39,80,16811,77223,18559,251253,374
10078,1999,2022,P,3089217,6,150069,150069,3,3,6,60597,0,15638,241355,0
10079,1966,2022,P,356633465,1918,188881402,211924417,977,941,1918,1299868,4326942,773429,8312411,108169
10080,1967,2022,P,52652767,630,38762103,39422528,240,390,630,154831,1508897,208913,1878930,4290
10081,1965,2022,P,21116914,188,7867135,8018830,83,105,188,61497,51971,0,0,0
10082,1972,2022,P,8942659,79,2644106,2739628,38,41,79,26637,133489,24239,170066,81
10083,1970,2022,P,149068008,1112,78322349,78384345,546,566,1112,377506,940450,129059,2920934,6874
10084,1973,2022,P,77671329,686,42370803,43540870,452,325,777,237582,961625,60931,994619,10076
10085,1988,2022,Q,28583824,256,6108275,6399611,193,65,258,0,66928,134691,71696,56826
10086,1988,2022,Q,27105076,70,2098260,2166760,36,115,151,857000,253520,42601,541847,1292
10087,1991,2022,Q,203030608,45,2739192,2739192,319,234,553,0,485913,304513,3247413,92718
10088,1992,2022,Q,153835714,59,1976586,2042635,777,234,1011,4288,372784,558767,5133524,123446
10090,1994,2022,Q,296965977,1638,58582776,59576514,1788,562,2350,9815,643782,504327,4798098,1689
10092,1995,2022,Q,6336714,52,1833735,1929841,23,29,52,4070,42341,82632,208926,9184
10093,1996,2022,Q,50585540,632,19491050,23693936,312,325,637,414967,304530,42266,326097,199
10094,1997,2022,Q,8506633,132,3966533,4317791,109,28,137,86433,36890,13204,224256,0
10095,1997,2022,Q,17963582,98,2687994,3007240,65,33,98,105578,38057,22992,391464,806
10096,1996,2022,Q,15293295,66,1753221,1881142,45,21,66,157548,69691,19687,250623,4571
10097,1998,2022,Q,21826424,280,11396783,11738111,192,92,284,0,113022,65904,795308,26631
10098,1999,2022,Q,25604222,245,4985957,5164399,211,34,245,41406,80936,52906,402395,0
10099,2003,2022,Q,26141131,831,19619064,20752846,730,101,831,2263,173862,26551,189655,0
10101,1961,2022,Q,56713965,223,8446689,9214353,316,61,377,12639,402171,226616,1086920,22592
10102,1969,2022,Q,726007201,841,45633513,46017296,2071,842,2913,235616,785409,6888220,1,0
10103,1969,2022,Q,7339941,45,792332,849981,34,16,50,40837,230208,22321,257159,7575
10104,1981,2022,Q,23679462,49,960788,998696,79,38,117,69,235057,28938,247092,2302
10105,1982,2022,Q,22549023,2,626676,688886,102,65,167,203440,266453,69698,495100,18
10107,1985,2022,Q,27355527,133,2794749,3282932,93,46,139,54521,201283,80012,74382,0
10108,1987,2022,Q,7563238,4,447058,447058,10,8,18,11874,96555,17879,18000,151
10109,1995,2022,Q,24910029,8,1356135,3621659,89,46,135,80000,165619,30818,183128,0
10111,1991,2022,Q,43467763,154,8503625,9200559,119,35,154,348036,355180,137130,489119,2058
10112,1994,2022,Q,52216390,278,12744698,13900388,174,120,294,17234,4639215,32669,1387191,352
10113,1996,2022,Q,31381548,10,682991,686121,292,57,349,3491,1255331,5016,37021,71
10114,1980,2022,Q,16945085,91,3128052,3578660,60,31,91,96905,93419,2484,382405,0
10115,1989,2022,Q,5477852,22,825286,864236,21,6,27,38600,93157,9011,107569,0
10116,1986,2022,Q,4686104,37,942317,1023123,28,9,37,39120,66277,19633,174040,385
10117,1993,2022,J2,1756334,7,275387,279426,11,11,22,10276,6862,3499,17457,0
10118,1986,2022,J2,24506130,49,3089198,3265523,21,28,49,67384,107992,37559,206350,0
10119,2003,2022,S,9829762,99,2677024,2930863,45,54,99,107154,187943,93910,528940,135615
10120,1987,2022,S,20675580,156,5340330,5644143,90,66,156,223888,169739,91470,463967,105
10121,1997,2022,N3,5274150,232,4720960,4812541,77,155,232,1693,22504,1388,3856,0
10122,1986,2022,N4,8094112,164,3317261,3894523,9,158,167,79230,536665,686,56979,482
10123,2018,2022,I1,4061781,24,760415,779928,16,9,25,47279,29442,19476,379623,40290
10124,2019,2022,I1,5903040,71,1518347,1606066,29,43,72,70708,279012,94475,589119,112355
10125,1990,2022,Q,67212911,495,15056228,15586986,413,103,516,7715,726627,82991,361657,5612
10127,1993,2022,Q,220882470,981,41719089,44445052,754,283,1037,2949,10941265,22897,455211,19028
10128,1994,2022,H1,4372894,66,1904624,1974188,32,34,66,41663,7346,4781,28682,0
10129,1995,2022,N3,14315770,648,12811927,13353552,130,521,651,158126,10629,0,0,0
10132,1997,2022,Q,11535989,60,1834013,1869036,63,12,75,4529,36287,5178,0,0
10133,1999,2022,Q,43257080,89,5071619,5153165,81,11,92,1,19783,14730,207655,944
10135,2005,2022,Q,74806093,28,3346711,3354604,383,179,562,0,162400,183584,1586733,32277
10136,2000,2022,M2,33284463,52,4484454,4753040,27,25,52,382233,383908,2438,42757,0
10138,2001,2022,Q,16866502,74,3258008,3444325,47,27,74,1257,31028,15412,219183,574
10139,2016,2022,I1,18541410,82,2567957,2590076,66,95,161,185913,33349,465063,1216533,535129
10140,2010,2022,I1,7358023,59,1575611,1834927,34,25,59,54447,33383,131488,459350,57182
10141,1973,2022,H1,4141781,93,2867908,3034640,58,36,94,38002,24483,762,73881,0
10142,1984,2022,Q,8916438,63,2454214,2605089,43,24,67,4429,83151,17678,358160,0
10143,1985,2022,I2,43552202,113,4532308,4532308,203,245,448,483352,15640,247593,2010451,824723
10144,2011,2022,Q,35835683,199,6313076,7101268,225,103,328,10,155727,223129,1111209,37212
10145,1975,2022,H1,7606369,56,3780094,3972521,33,23,56,85779,323371,56232,190010,1072
10146,1993,2022,LN1,92773468,144,10356082,10452264,63,123,186,1478496,1959329,53175,528249,0
10148,2007,2022,Q,13141861,9,400466,400466,25,23,48,0,265000,17000,144880,2000
10149,1995,2022,Q,6856756,75,1766823,1818889,53,23,76,0,26108,17331,269480,1551
10151,1991,2022,Q,18783523,75,2009194,2208140,96,54,150,64894,24089,81945,391850,436
10153,1992,2022,M1,2818046,86,2358194,2487140,21,65,86,27176,10118,3351,29807,0
10154,1992,2022,M1,5677957,155,3253780,3253780,0,155,155,12220,6500,7800,25350,100
10155,1995,2022,Q,57624728,50,1081937,1111311,209,96,305,570232,387199,151731,977652,15594
10156,1995,2022,LN1,74256533,115,7437059,7486634,49,69,118,567360,645830,46860,395190,40
10157,1995,2022,H1,3405045,74,1394604,1519079,73,2,75,30210,448,1810,10598,0
10158,1996,2022,H1,30543305,86,3099651,3253717,82,66,148,249795,1026022,29282,148049,0
10159,2009,2022,N3,88924597,2581,65298571,66921282,253,2328,2581,44661,1462207,16740,261746,578
10162,2003,2022,N3,82506287,2413,60818305,62572781,224,2189,2413,79188,772040,31455,220931,2873
10163,2003,2022,Q,101221008,26,2577965,2577965,257,141,398,0,96244,43544,391758,28273
10164,2004,2022,N3,62230816,2368,56823212,58675831,489,1879,2368,48205,281831,5289,16778,145
10168,1997,2022,N3,15735513,427,12841183,13629848,139,288,427,14586,103613,1692,14429,55
15416,2004,2022,M1,3284307,127,2786840,2898227,29,101,130,9728,0,3687,22142,0
10169,1974,2022,J1,123103726,431,9267890,9308127,517,155,672,803640,2561084,394352,9363824,8206
10170,2005,2022,Q,8249767,91,2990967,3081045,89,2,91,58568,49950,13784,355088,75
10171,1998,2022,I1,1873000,21,1239000,1335000,14,8,22,22000,0,37000,213000,23000
10172,2004,2022,N3,7126698,316,6616658,6762472,104,214,318,5525,31727,1749,5961,0
10173,2017,2022,Q,22570740,180,4871132,4972302,112,68,180,5876,31412,47308,216408,15561
10174,2005,2022,N3,1315981,46,1282943,1360024,28,18,46,1031,1962,0,0,0
10177,2007,2022,N3,5842023,208,4025634,4175665,208,0,208,4775,21755,0,0,0
10178,2007,2022,R,2967470,8,179218,190689,5,4,9,44520,20573,6291,10792,0
10180,2009,2022,I1,4183890,25,446645,463517,10,15,25,35930,65681,38073,506700,40075
10182,2009,2022,J4,5005594,57,2849774,2879847,23,34,57,40023,23467,4143,76020,94
10183,2005,2022,J1,13338218,121,2910323,3124841,67,54,121,121942,534122,81468,1974734,0
10184,2006,2022,Q,9761244,49,5232132,5273116,41,10,51,115941,48509,13999,272097,0
18545,2006,2022,H2,1361534,63,1201435,1399908,16,59,75,12658,9844,0,9741,0
10185,2007,2022,H1,23408362,48,4991466,5000930,9,39,48,215149,1695,12469,27625,803
10187,2008,2022,H1,39001394,889,16174610,16922879,755,136,891,347214,56825,34141,75331,51
10189,1996,2022,I1,1131463,14,329354,349039,14,0,14,8040,1800,12912,99144,9600
10190,2005,2022,I1,1177856,15,354586,375646,9,10,19,30284,27812,25084,129379,7614
10191,2013,2022,I2,11366567,81,2746765,2914005,53,28,81,65664,78918,108166,231144,223879
10192,1999,2022,M1,18286555,54,2913163,3087753,15,39,54,219632,180559,16481,440824,0
10193,2004,2022,M1,12707502,165,4359776,4388322,32,139,171,145200,26745,2730,51215,0
10194,1978,2022,N3,36618716,1071,26832658,27482967,322,749,1071,55583,984729,4360,9468,210
10195,2006,2022,P,78871910,899,36147609,37581419,446,453,899,176636,1468498,132699,1197760,970
10197,0,2022,N3,NA,0,0,0,0,0,0,0,0,0,0,0
10198,1989,2022,N3,1040515,46,939000,995000,1,48,49,1700,0,0,0,0
10199,1997,2022,M1,2207807,11,600953,680938,5,10,15,24625,8986,2322,22513,83
10200,2003,2022,Q,31354189,26,2406574,2406574,226,122,348,2917,140844,139250,1063463,8508
10201,2007,2022,I2,21077312,120,2763283,2900283,50,75,125,19603,260343,43638,469935,212588
10202,2006,2022,N3,1798865,77,1615951,1717584,30,47,77,2015,437,0,0,0
10203,2006,2022,H1,8200123,0,0,0,0,0,0,47561,11538,0,0,0
10204,1991,2022,M1,7339225,30,1395603,1395603,10,20,30,73124,2791,4570,33586,0
10205,2010,2022,I1,8651266,35,1743269,1797305,32,34,66,3655,49841,187885,597201,163820
10207,2003,2022,I1,5458236,18,464779,495046,30,21,51,30613,132215,48072,423655,23865
10208,2021,2022,I1,915830,9,172939,177754,5,4,9,10813,8107,25489,132227,13282
10209,1957,2022,I1,6390664,78,2157327,2233974,13,65,78,79583,204422,160794,1040534,144349
10210,2010,2022,H1,34501766,52,1917243,2515772,14,38,52,405559,147548,27153,431637,0
10213,2011,2022,H1,22845411,31,1301517,1346732,25,12,37,216654,121204,46473,363225,2457358
10216,2011,2022,N3,10602181,395,9038084,9386958,395,0,395,4775,21755,0,0,0
10217,2011,2022,N3,5921577,191,5252030,5363449,87,104,191,4490,24455,0,0,0
10219,2009,2022,N3,75128844,2586,63909409,65275805,706,1880,2586,27815,150831,1185,13649,0
10220,1977,2022,LN1,12527910,97,2834337,2950877,10,88,98,121603,1130700,191079,322991,556
10221,2013,2022,I1,6475057,34,1061811,1247201,24,10,34,0,39184,102487,669748,27226
10222,2013,2022,I1,4467862,7,420741,427627,14,19,33,68558,15000,104515,459480,106310
10223,2018,2022,I1,813391,8,150696,162940,8,5,13,3326,399,4304,54814,12509
10224,1957,2022,I1,4968853,2,185840,203344,21,31,52,29425,11420,277000,468649,4245
19345,2006,2022,J4,5251293,47,2217808,2260150,20,27,47,26174,13105,0,49047,0
10225,2009,2022,H1,102854048,99,4833931,4976118,48,52,100,970342,890345,47178,395850,104
10226,2004,2022,Q,106688688,782,22982313,22982313,479,303,782,50490,7664854,70543,1488521,216
10228,2005,2022,H1,26301653,70,1826274,1878732,26,44,70,500293,592601,9962,119448,0
10229,2002,2022,Q,36470465,160,4477878,4487503,125,35,160,399,52141,154421,284140,6894
10230,2000,2022,H1,10931735,75,2126266,2126266,5,70,75,129353,76613,10765,121341,0
10231,2007,2022,Q,40487261,324,10913510,11221435,243,83,326,240,158540,71713,1329815,7347
10232,2003,2022,J3,97053309,25,1215797,1476134,342,266,608,455493,312178,15997,167358,0
10233,2009,2022,J3,7315171,36,1670629,1704887,46,39,85,90153,49596,8623,26545,700
10234,2003,2022,Q,67091612,261,13394882,13546333,173,88,261,129833,44724,34934,521412,1157
10235,2009,2022,Q,6029796,126,3919782,4020167,83,43,126,32459,63915,5604,21986,182
10236,1992,2022,H2,2736447,11,488387,514043,5,9,14,20689,10223,9134,42287,0
10237,2003,2022,Q,20688490,193,5774270,5929663,48,146,194,0,21375,280231,945630,5771
10240,2012,2022,N5,154965086,3341,100244104,105425959,1808,1533,3341,792916,842327,161621,2270797,0
10241,0,2022,Q,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
10242,2005,2022,N3,15413102,712,13683839,14071803,251,462,713,17194,68488,1198,4778,0
10243,2021,2022,J4,15948978,95,11187378,12416885,40,55,95,6139,1384,3558,62343,0
10244,2008,2022,N3,3942235,130,2179021,2251916,8,122,130,4821,28471,7521,25478,215
10247,2006,2022,N3,59967148,2126,55066631,56066631,1145,984,2129,29683,0,13495,108990,0
15421,2011,2022,N3,2874085,89,2395240,2459331,25,64,89,1488,400,1119,6524,0
10249,2007,2022,J4,28309521,205,21248728,21264585,51,154,205,28403,141317,8877,134115,104
10250,2009,2022,N3,80841545,3229,75754144,77176654,1262,1970,3232,38415,0,0,0,0
10253,1995,2022,J4,2569937,20,1146259,1162900,3,17,20,51499,0,2509,19282,0
10254,2011,2022,N3,60146284,1712,37722901,39486768,1156,556,1712,228926,348817,3446,19697,0
10257,2006,2022,I1,414962,41,865951,934411,10,32,42,1920,112371,8530,52810,1296
17555,1986,2022,I1,850819,8,210731,225738,5,9,14,41838,121968,66212,116369,13670
10258,2010,2022,I2,42232967,211,6584841,6584841,122,287,409,464280,28382,148729,1696487,678383
10260,2010,2022,I2,7111310,79,1652550,1800736,46,33,79,71719,14596,24806,227427,113165
10262,2002,2022,P,20843710,215,7806194,8692482,97,118,215,49772,98417,131549,722098,438
10263,1972,2022,P,192100606,1385,110074881,114118117,823,750,1573,662494,2016929,321383,3056007,1990
10264,2014,2022,I1,7933316,58,1897799,1897799,27,42,69,4640,9992,136241,548321,118119
10265,2014,2022,I1,9725890,43,1499008,1539189,29,27,56,98918,6323,134373,736637,58838
10266,2014,2022,I1,2904136,12,283701,298230,8,10,18,36388,47518,8469,105103,11204
10271,2011,2022,R,41768337,124,35874273,44916892,23,101,124,374596,1266494,116104,227729,6352
10272,2008,2022,N3,84061314,3511,72436590,76459053,1742,1769,3511,728105,358531,0,0,0
10273,2015,2022,H1,99515267,123,8359429,9138921,51,72,123,792167,524243,412104,3930545,1405133
17549,2015,2022,I1,3267957,12,670770,680615,5,8,13,60375,12579,46693,221434,25609
10274,2014,2022,I1,1494129,8,147207,159453,4,6,10,15362,20382,21122,171736,25537
10275,2015,2022,I1,5159855,24,879112,932520,26,13,39,61441,73063,53788,331269,38547
20251,2014,2022,I2,5216675,13,529459,554459,36,17,53,52168,22453,30604,200114,73232
10276,2013,2022,N3,2036628,60,1597315,1638518,3,57,60,4893,1029,4819,5650,88
10278,0,2022,H1,NA,NA,0,0,NA,NA,NA,0,0,0,0,0
10280,0,2022,N3,0,0,0,0,0,0,0,0,0,0,0,0
10281,2014,2022,N3,5939846,277,5175548,5306935,35,242,277,20338,31883,0,0,0
10283,2016,2022,I1,15226171,60,4169661,4223415,57,31,88,0,191308,238001,1451495,112180
10284,2015,2022,I1,9626465,35,1126242,1173177,26,27,53,16424,40505,193897,634664,57617
10285,2011,2022,I1,1046164,6,120568,133167,4,3,7,12347,41006,28971,106197,13637
17557,2016,2022,I1,8781819,45,1464511,1503506,34,24,58,21890,103000,82206,690872,63401
17558,1977,2022,J0,293849,6,114769,123205,2,6,8,803,6,1837,2934,0
17559,1996,2022,J0,590996,9,169278,181933,4,9,13,4137,3479,10700,17200,0
17561,1952,2022,J0,26753416,202,11975854,12599314,100,181,281,181281,408168,87558,614795,10201
20592,2016,2022,M1,3582000,25,786745,786745,16,9,25,34247,897,4941,105740,0
17563,2005,2022,I2,7338579,58,1230910,1234195,40,35,75,95446,55802,46380,216966,111945
17564,2000,2022,I2,22577772,28,920213,981466,34,50,84,287790,132103,82158,713711,154485
17565,2010,2022,I2,6122118,42,989005,1040049,12,34,46,35148,251667,37907,289617,47267
17566,2017,2022,I2,10681186,135,2549083,2608138,70,65,135,66576,28498,59632,212852,110110
17568,2011,2022,N5,97568298,1376,71938361,83065335,523,853,1376,931,370390,104808,1799561,0
17960,2017,2022,I1,17612937,60,2391299,2402500,59,71,130,190202,113617,260069,1236552,188712
17961,2017,2022,N3,200809360,8776,172852857,179106541,3836,4940,8776,0,772221,5709,46973,287
17962,2016,2022,N3,8030998,269,5085639,5274477,10,260,270,51369,931,0,0,0
17963,2012,2022,N3,73581625,2381,68651134,69939551,1265,1116,2381,55973,303159,8248,83772,281
17964,2006,2022,N5,1263377850,23632,720399265,738642548,12863,10769,23632,1057546,1909908,665044,6867557,0
18546,2008,2022,N3,13809336,612,12320794,12604973,361,252,613,10155,67108,946,16302,55
17965,2013,2022,Q,204867514,997,49778483,50936163,747,250,997,579616,784312,64386,638808,48775
17966,2011,2022,N3,2008430,69,1882508,1882508,21,48,69,1447,35,1061,4588,0
18547,2011,2022,H1,2667139,95,1638307,1749539,15,80,95,22410,5263,1068,5719,0
17968,2011,2022,H1,37673921,74,2846555,2963641,6,151,157,253512,171073,4381,47770,17
17969,0,2022,H1,0,0,0,0,0,0,0,0,0,0,0,0
17971,2014,2022,H1,2741628,72,1240455,1341539,5,67,72,27417,18568,11937,6685,1332
18549,1998,2022,H2,5310946,127,2421853,2560565,42,85,127,55883,237605,2369,26409,279
17972,2013,2022,J4,4731455,35,1934480,1973090,13,22,35,22112,94594,3896,65113,0
17973,2004,2022,S,4811473,58,1151218,1170099,36,23,59,44230,55479,406324,259754,469231
17974,2010,2022,H1,44950956,32,1245841,1421506,5,38,43,520246,72869,33778,505491,0
17975,1980,2022,LN1,22112091,48,2867131,3165975,19,36,55,190635,1611626,165,123855,0
18550,2019,2022,I1,7158889,40,974388,1013137,30,11,41,0,32161,75407,448039,96600
18552,2018,2022,Q,267470841,110,7992590,7992590,67,44,111,0,478717,1021166,7174523,28001
17976,2010,2022,Q,3841700,15,314412,336222,12,3,15,1160,6914,8285,76462,401
17977,2004,2022,Q,53157009,380,10675725,12374370,277,103,380,1633,4107,89637,703121,89
17978,2011,2022,M1,8010166,18,595230,595230,5,15,20,4675,5670,600,12345,0
19348,1995,2022,LN1,8125426,9,227890,238807,3,6,9,96062,682279,156141,131989,7395
18554,1969,2022,LN1,4987373,37,1577954,1607665,32,6,38,71464,130675,28996,101640,56
18555,1979,2022,LN1,8903830,43,1829895,1869090,12,31,43,55328,909299,399933,485144,4489
19349,1993,2022,M1,3425063,17,1104868,1104868,8,16,24,22633,16673,3501,32702,77
19350,1995,2022,M1,11554731,83,2710509,2791392,48,35,83,129243,32834,25030,157269,1161
18556,2004,2022,M1,18548383,43,1771560,1817865,21,61,82,86108,105019,8033,35397,17
18557,1985,2022,M1,9598624,29,2096580,2104817,20,14,34,47092,19165,8796,104809,1506
18559,2001,2022,M2,7156224,32,1420632,1819174,13,23,36,85323,11849,0,70698,0
18560,2003,2022,M2,6655185,7,367493,372866,11,0,11,65415,4503,2405,7726,0
18561,2011,2022,N3,15317620,640,14861183,15317705,274,366,640,143085,89088,0,0,0
18564,2014,2022,N4,9933468,246,5451411,5487904,15,234,249,84455,41677,7175,7292,51
19351,1992,2022,S,14666406,18,1443894,1447809,23,20,43,2032,12376,10999,382317,171
18566,2001,2022,LN1,6133370,12,424229,434393,9,11,20,31117,5000,406193,1220548,0
18568,2013,2022,LN1,1755952,11,452910,465587,4,7,11,30224,0,1214,14427,0
19352,1986,2022,Q,48182417,214,5301622,6392798,122,97,219,47256,64938,242845,1383805,8285
18569,2013,2022,Q,25283104,270,7339138,7655256,200,70,270,411,228630,25195,20757,47
18570,1996,2022,Q,0,0,0,0,0,0,0,0,0,0,0,0
18571,2012,2022,Q,3979618,2,47181,49860,1,1,2,0,2890,514,13573,0
18572,2012,2022,Q,1316618,27,597550,597550,18,9,27,0,5076,7027,25352,0
18573,1998,2022,S,9816104,124,3885497,4139497,51,73,124,115828,267633,67636,283657,147595
19353,1993,2022,M2,5000374,15,1494144,1494144,5,11,16,22227,22949,3840,45600,0
20252,2011,2022,I1,6034515,19,417998,441022,14,5,19,28611,143058,32112,162389,45933
19354,2009,2022,H1,3592421,27,955478,982618,6,21,27,45463,58967,38360,68500,12918
19355,1999,2022,M1,14336291,228,12838231,12838231,159,69,228,128311,333,429,3164,708
19744,2019,2022,I1,4581176,21,498065,530466,12,9,21,0,18123,77287,441372,42663
19357,2015,2022,Q,105756739,95,5549876,6246937,474,212,686,1,97723,8301,2305173,109
19358,2008,2022,Q,504004621,187,21822497,22607958,3027,1005,4032,15815,1813267,949645,7142167,61
19359,2013,2022,J3,135799450,995,37260061,39701866,600,1423,2023,1403598,950356,15458,104848,0
19745,0,2022,I1,0,0,0,0,0,0,0,0,0,0,0,0
19746,2013,2022,M1,7879502,29,1609367,1856286,7,22,29,477,1252,286,5672,0
19747,2015,2022,J3,92499485,888,24425903,25286166,78,810,888,849241,406319,33500,256013,0
19749,2018,2022,I1,1066605,21,672547,688014,11,12,23,1778,5512,11568,83321,15100
19750,2012,2022,R,6255653,60,2529813,4091384,3,57,60,40690,4334,1695,9688,187
19751,2018,2022,N5,13277708,302,7361928,10016386,154,148,302,0,895,21234,257058,0
19752,2011,2022,Q,38464989,17,609713,643022,89,157,246,177963,0,2555,8447,0
19753,2011,2022,Q,37789017,15,382327,401783,160,125,285,51549,183420,66312,490369,36881
19754,2010,2022,Q,20374985,0,0,0,47,20,67,5110,11304,0,0,0
19755,2016,2022,Q,5402181,0,0,0,0,0,0,14713,48631,371,21516,0
19756,2010,2022,Q,8066024,41,1401113,1437878,36,5,41,79253,29316,14007,55055,293
19757,0,2022,Q,NA,0,0,0,0,0,0,0,0,0,0,0
19759,2010,2022,Q,21268400,25,1349820,1354629,255,38,293,0,1250112,4307,41616,0
19760,2013,2022,Q,7805312,83,1858132,1964559,66,17,83,0,30085,18583,86906,1659
19761,2013,2022,Q,13613280,168,3696070,3818555,96,72,168,1,43091,53213,320224,252
19762,2007,2022,Q,6059741,14,317224,340669,13,7,20,28718,103368,6083,53761,0
19763,2016,2022,Q,13555082,29,683624,793109,16,13,29,0,0,0,0,0
19764,1982,2022,Q,76952821,613,22884300,23944057,447,166,613,119328,155679,325877,2212085,29816
19765,0,2022,Q,0,0,0,0,0,0,0,0,0,0,0,0
19766,1998,2022,Q,25012990,183,5550185,6527218,139,44,183,36908,63827,53258,514447,0
19767,2002,2022,Q,5333702,23,2563611,2571473,31,10,41,0,1184,2557,26550,440
19768,1997,2022,Q,1626600,4,212822,212822,2,2,4,179,21050,9375,58990,204
19769,1999,2022,Q,9957417,27,702339,730388,23,7,30,5533,61271,13055,102331,518
